LOCATION CODE,REAL PROPERTY ASSET NAME,GSA REGION,STREET ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,BUILDING RENATABLE SQUARE FEET,CONSTRUCTION DATE,CONGRESSIONAL DISTRICT,CONGRESSIONAL DISTRICT REPRESENTATIVE NAME,BUILDING STATUS,REAL PROPERTY ASSET TYPE,,
NH6131,59 Chenell Drive,1,59 Chenell Dr,Concord,NH,3301,43.20664,-71.483741,12677,2000,3302,Ann Kuster,Active,Building,,
ME4278,207 Gannett Drive,1,207 Gannett Dr,South Portland,ME,4106,43.638363,-70.357248,15500,2000,2301,Chellie Pingree,Active,Building,,
MN1485,Northwestern Ofc Bld,5,209 S 2Nd St,Mankato,MN,56001,44.16571,-94.002421,1914,2000,2701,Brad Finstad,Active,Building,,
SC2031,C&S Plaza,4,1901 Main St,Columbia,SC,29201,34.01085,-81.038311,4832,2000,4506,James Clyburn,Active,Building,,
NC2592,Windsor Cashie River Center An,4,116 W Water St,Windsor,NC,27983,35.9930629,-76.944312,6000,1985,3701,Donald Davis,Active,Building,,
CA8305,Airport Business Park - Mckinleyville,9,3140 Boeing Ave,Mckinleyville,CA,95519,40.96666,-124.1144,22853,2000,602,Jared Huffman,Active,Building,,
TX2937,2501 S State Highway 121,7,2501 S State Hwy 121,Lewisville,TX,75067,32.999868,-96.999323,53916,2019,4826,Michael Burgess,Active,Building,,
KS1612,Westbrook Iii,6,8050 Marshall Dr,Lenexa,KS,66214,38.98282,-94.709501,18099,2001,2003,Sharice Davids,Active,Building,,
CA7072,169 Walnut Avenue,9,169 Walnut Ave,Santa Cruz,CA,95060,36.97294,-122.0275,8282,1997,619,Jimmy Panetta,Active,Building,,
ME0661,"Lpoe, Houlton",1,27 Customs Loop,Houlton,ME,4730,46.1597,-67.896245,25448.86,1985,2302,Jared Golden,Active,Building,,
DC0042,Presidents Guest House (1651-1653 Penn Av & 700/704 Jack Pl),11,1651 Pennsylvania Ave Nw,Washington,DC,20503,38.899017,-77.038596,51961.26,1824,1198,Eleanor Norton,Active,Building,,
OH2265,Genesis Building Ltd,5,6000 Lombardo Ctr,Seven Hills,OH,44131,41.40268,-81.665101,6729,2000,3907,Max Miller,Active,Building,,
SD1418,First American,8,801 Mount Rushmore Rd,Rapid City,SD,57701,44.0781015,-103.2318706,4132,2004,4600,Dusty Johnson,Active,Building,,
AK3332,Ballard Building,10,43655 Kalifornsky Beach Rd,Soldotna,AK,99669,60.489234,-151.15459,5010,2000,200,Mary Peltola,Active,Building,,
CT3369,Corporate Center - Hartford,1,20 Church St,Hartford,CT,6103,41.76892,-72.673571,24647,2000,901,John Larson,Active,Building,,
MT5364,Doggett Ranch,8,2929 3Rd Ave N,Billings,MT,59101,45.78304,-108.51,14980,2000,3002,Matthew Rosendale,Active,Building,,
CO1918,Three Gateway Centre,8,3855 Lewiston St,Aurora,CO,80011,39.77142,-104.8,12600,2000,806,Jason Crow,Active,Building,,
CO0500,Dfc All Parcels - No Land,8,W 6Th Ave & Kipling St,Lakewood,CO,80225,39.71335,-105.114,0,1949,807,Brittany Pettersen,Active,Structure,,
AR1321,200 West Capitol Avenue,7,200 W Capitol Ave,Little Rock,AR,72201,34.7447071,-92.2728195,36288,2024,502,J. Hill,Active,Building,,
NJ5124,Princeton South At Lawrenceville,3,9 Princess Rd,Lawrenceville,NJ,8648,40.2833895,-74.713726,3420,2000,3403,Andy Kim,Active,Building,,
VT0801,"Lpoe, Norton",1,State Route 114,Norton,VT,5907,44.9578727,-71.816991,6547.73,1934,5000,Becca Balint,Active,Building,,
WA7714,Blaine Trade Center,10,808 Harrison Ave,Blaine,WA,98230,48.992893,-122.746,14201,2000,5302,Rick Larsen,Active,Building,,
OK1506,600 N. Milt Phillips,7,600 N. Milt Phillips,Seminole,OK,74868,35.228214,-96.671037,9825,1980,4005,Stephanie Bice,Active,Building,,
TN1253,Cross Park,4,9031 Cross Park Dr,Knoxville,TN,37923,35.924182,-84.081175,21611,2000,4702,Tim Burchett,Active,Building,,
SC2345,Ice Dro,4,3950 Faber Place Dr,North Charleston,SC,29405,32.846427,-80.019729,65124,2000,4506,James Clyburn,Active,Building,,
TX2602,10318 Dorbandt,7,10318 Dorbandt Rd,Conroe,TX,77303,30.3499981,-95.420977,15000,2000,4808,Morgan Luttrell,Active,Building,,
IL2525,Irs National Distribution Cent,5,1201 N Mitsubishi Mtwy,Bloomington,IL,61705,40.4937,-89.057786,133512,2008,1717,Eric Sorensen,Active,Building,,
TX0765,Usbs Eagle Pass Ii Seizure Vault,7,500 S Adams St,Eagle Pass,TX,78852,28.699249,-100.50328,683.1,1997,4823,Tony Gonzales,Active,Building,,
ME4279,40 Manson Libby,1,40 Manson Libby Rd,Scarborough,ME,4074,43.578792,-70.360569,9899,2000,2301,Chellie Pingree,Active,Building,,
CA7816,Califa Street Building,9,21040 Califa St,Los Angeles,CA,91367,34.17676,-118.5914,8823,2019,632,Brad Sherman,Active,Building,,
NC2286,Summit Center,4,1717 Shipyard Blvd,Wilmington,NC,28403,34.19433,-77.918791,3897,2000,3707,David Rouzer,Active,Building,,
MD1004,The Cottonwood Office Building,3,23330 Cottonwood Pkwy,California,MD,20619,38.30949,-76.545181,26208,2000,2405,Steny Hoyer,Active,Building,,
CA7005,Royal Village,9,846 Arnele Ave,El Cajon,CA,92020,32.804289,-116.97228,14730,1979,651,Sara Jacobs,Active,Building,,
ND1381,Fargo Field Office,8,400 45Th St S,Fargo,ND,58103,46.872288,-96.860295,22024,2000,3800,Kelly Armstrong,Active,Building,,
TN2163,537 Myatt Dr,4,537 Myatt Dr,Madison,TN,37115,36.28252,-86.691581,4800,2000,4706,John Rose,Active,Building,,
TX0510,Del Rio Lep Command Center,7,3140 Texas Spur 239,Del Rio,TX,78840,29.3337058,-100.9199243,0,2025,4823,Tony Gonzales,Active,Building,,
TX7021,Usbs Progreso Truck Primary Inspection,7,100 S International Blvd,Weslaco,TX,78596,26.1606738,-97.958514,336,1983,4834,Vicente Gonzalez,Active,Building,,
AL2192,Dothan Regional Airport,4,800 Airport Dr,Dothan,AL,36303,31.3161308,-85.448814,850,2000,102,Barry Moore,Active,Building,,
CO2022,"U.S. Citizen. And Immig. Serv,",8,12484 E Weaver Pl,Centennial,CO,80111,39.59889,-104.843,42699,2009,806,Jason Crow,Active,Building,,
IL0315,220 S. State St.,5,220 S State St,Chicago,IL,60603,41.8790428,-87.627774,0,1913,1707,Danny Davis,Active,Building,,
TN2142,Chattanooga Dhs,4,2150 Stein Dr,Chattanooga,TN,37421,35.05637,-85.184611,4853,2000,4703,Charles Fleischmann,Active,Building,,
OH2360,Corporate Hill Ii (100 W Old Wilson Rd),5,100 W Old Wilson Bridge Rd,Worthington,OH,43085,40.11052,-83.020201,2176,2000,3903,Joyce Beatty,Active,Building,,
TX1848,Gateway Business Center,7,10737 Gateway Blvd W,El Paso,TX,79935,31.75068,-106.33978,0,2000,4816,Veronica Escobar,Active,Building,,
NC2668,The Alamance Building,4,4905 Koger Blvd,Greensboro,NC,27407,36.05085,-79.884701,156062,2010,3706,Kathy Manning,Active,Building,,
FL1100,101350 Overseas Highway,4,101350 Overseas Hwy,Key Largo,FL,33037,25.1124759,-80.423716,4800,2000,1228,Carlos Gimenez,Active,Building,,
WA7943,Lookout Mountain Antenna Tower,10,Lookout Mountain,Bellingham,WA,98225,48.754057,-122.48113,15,2008,5302,Rick Larsen,Active,Building,,
IL2252,Fairview Heights Il Corporate Centre,5,9 Executive Dr,Fairview Heights,IL,62208,38.600652,-89.980483,43498,2000,1713,Nikki Budzinski,Active,Building,,
AL2057,"Verizon Building, Montgomery, Al",4,2950 Chestnut St,Montgomery,AL,36107,32.36665,-86.267631,15792,2000,102,Barry Moore,Active,Building,,
CA8291,The Los Angeles River Center-California Building,9,570 W Avenue 26,Los Angeles,CA,90065,34.08504,-118.22484,0,2000,634,Jimmy Gomez,Active,Building,,
LA0070,Allen J. Ellender Federal Building And Us Post Office,7,423 Lafayette St,Houma,LA,70360,29.59475,-90.724121,58879.99,1972,2201,Steve Scalise,Active,Building,,
PR4081,"Centrico, Pr #3 Km 134.7, Guayama, Pr 00784",2,"Centrico, Pr #3 Km 134.7",Guayama,PR,784,17.9784089,-66.0963723,4592,2000,7298,Jenniffer Gonzalez-Colon,Active,Building,,
SD1411,Promise Road,8,2165 Promise Rd,Rapid City,SD,57702,44.0213341,-103.2521663,49309,2023,4600,Dusty Johnson,Active,Building,,
MI2134,Flint Mi Airport Terminal Building,5,G-3425 W. Bristol Road,Flint,MI,48507,42.9647182,-83.718627,3622,2000,2608,Daniel Kildee,Active,Building,,
OH2429,Experimental Stream Field Station (Esfs),5,1003 Us Highway 50,Milford,OH,45150,39.14749,-84.255051,3791,1981,3902,Brad Wenstrup,Active,Building,,
IN0532,Bldg 91 Gsa Fed Ctr,5,1201 E 10Th St,Jeffersonville,IN,47130,38.2863194,-85.732535,21744.56,1952,1809,Erin Houchin,Active,Building,,
MD0239,7500 Standish Place,11,7500 Standish Pl,Rockville,MD,20855,39.1072949,-77.153334,113730,2000,2408,Jamie Raskin,Active,Building,,
UT1467,Usda Service Center - Logan,8,1869 N 100 E,Logan,UT,84341,41.766,-111.831,7500,1985,4901,Blake Moore,Active,Building,,
OH1955,Steinmart Plaza,5,25063 Center Ridge Rd,Westlake,OH,44145,41.45613,-81.897781,18526,2000,3907,Max Miller,Active,Building,,
MI2120,Monroe Mi Ssa Building,5,1300 S Telegraph Rd,Monroe,MI,48161,41.90924,-83.424031,6075,2007,2605,Tim Walberg,Active,Building,,
CO1949,Pueblo Memorial Airport,8,31201 Bryan Cir,Pueblo,CO,81001,38.28381,-104.495,429,2000,803,Lauren Boebert,Active,Building,,
TX2095,4747 Bellaire Bldg.,7,4747 Bellaire Blvd,Bellaire,TX,77401,29.70527,-95.461821,21063,2000,4807,Lizzie Fletcher,Active,Building,,
VT0014,"Lpoe, Richford",1,705 Province St,Richford,VT,5476,45.01377,-72.662651,7113.69,1932,5000,Becca Balint,Active,Building,,
IL0154,Peoria Il Fed Bldg & Us Cthse,5,100 Ne Monroe St,Peoria,IL,61602,40.69489,-89.591731,105658.99,1938,1717,Eric Sorensen,Active,Building,,
IL2624,Hangar E20,5,32W731 Tower Rd,West Chicago,IL,60185,41.9164465,-88.260891,7169,2000,1703,Delia Ramirez,Active,Building,,
AZ0603,Sasabe Lpoe Headhouse Bldg 2,9,Highway 286 And International Border,Sasabe,AZ,85633,31.4894,-111.54258,2940.83,1994,407,Raul Grijalva,Active,Building,,
CT3331,Ct Financial Center,1,157 Church St,New Haven,CT,6510,41.30693,-72.924401,115771,2000,903,Rosa DeLauro,Active,Building,,
NY7250,Main Street Plaza-Dunkirk,2,437 Main St,Dunkirk,NY,14048,42.48271,-79.328431,4683,2000,3623,Nicholas Langworthy,Active,Building,,
NM1432,2113 Osuna Rd Ne,7,2113 Osuna Rd Ne,Albuquerque,NM,87113,35.15492,-106.60698,22216,2000,3501,Melanie Stansbury,Active,Building,,
TX0961,Usbs Bota El Paso Headhouse,7,3600 E Paisano Dr,El Paso,TX,79905,31.767601,-106.45092,10621.53,1992,4816,Veronica Escobar,Active,Building,,
WA7854,Spokane Airport,10,9000 W Airport Dr,Spokane,WA,99224,47.6254722,-117.53676,4035,2000,5305,Cathy Rodgers,Active,Building,,
KY0089,Carl D Perkins Fbct,4,1405 Greenup Ave,Ashland,KY,41101,38.48081,-82.639961,57850.38,1985,2105,Harold Rogers,Active,Building,,
NY7282,33 Maiden Lane,2,33 Maiden Ln,New York,NY,10038,40.70895,-74.008681,43936,2000,3610,Daniel Goldman,Active,Building,,
IL2447,"Ssa Office, Chicago Nnw",5,3252-3264 W Fullerton,Chicago,IL,60647,41.9210727,-87.702209,13669,2000,1703,Delia Ramirez,Active,Building,,
NY2432,Nyc Armstrong Building,2,545 W 112Th St,New York,NY,10025,40.80537,-73.965308,43387,2000,3613,Adriano Espaillat,Active,Building,,
TX0609,Usbs Anzalduas Mission Southbound Secondary,7,5911 N Stewart Rd,Mission,TX,78572,26.14506,-98.31456,2949.68,2009,4815,Monica De La Cruz,Active,Building,,
TX2155,El Paso Ins District Office,7,1545 Hawkins Blvd,El Paso,TX,79925,31.79172,-106.37243,40934,2000,4816,Veronica Escobar,Active,Building,,
NM1551,4001 Office Court,7,4001 Office Ct,Santa Fe,NM,87507,35.63312,-106.01633,5847,2000,3503,Teresa Leger Fernandez,Active,Building,,
KY3123,Turfway Ridge Office Park,4,7300 Turfway Rd,Florence,KY,41042,39.01224,-84.628091,26374,2000,2104,Thomas Massie,Active,Building,,
VA1464,1701 N. Fort Myer/1200 Wilson Building B,11,1200 Wilson Blvd,Arlington,VA,22209,38.89476,-77.071511,0,1997,5108,Donald Beyer,Active,Building,,
WI1631,700 Regent St,5,700 Regent St,Madison,WI,53703,43.0677735,-89.397769,2975,2000,5502,Mark Pocan,Active,Building,,
NC2322,Charlotte Douglas Intl Airport,4,5501 Josh Birmingham Pky,Charlotte,NC,28208,35.2289867,-80.941904,8934,2000,3714,Jeff Jackson,Active,Building,,
WY1350,Arundel Technology Park,8,7052 Commerce Cir,Cheyenne,WY,82007,41.13473,-104.721,8103.78,2009,5600,Harriet Hageman,Active,Building,,
NE1422,Western Nebraska Reg. Airport,6,250023 Airport Terminal St,Scottsbluff,NE,69361,41.8693514,-103.59348,1500,1947,3103,Adrian Smith,Active,Building,,
SD1338,Maguire Iron Building,8,1610 N Minnesota Ave,Sioux Falls,SD,57104,43.56728,-96.7306,4922,2009,4600,Dusty Johnson,Active,Building,,
TX2500,Overton Centre,7,4100 International Plz,Fort Worth,TX,76109,32.68888,-97.402571,5835,2000,4812,Kay Granger,Active,Building,,
NE1428,1301 West Highland Boulevard,6,1301 Highland Blvd,Lincoln,NE,68521,40.85701,-96.739861,137671,2000,3101,Mike Flood,Active,Building,,
CA7336,Xerox Bldg,9,1851 E 1St St,Santa Ana,CA,92705,33.74617,-117.84146,21441,1987,646,J. Correa,Active,Building,,
CA0273,Glenn M Anderson Fed Bldg,9,501 W Ocean Blvd,Long Beach,CA,90802,33.76772,-118.19873,238769.52,1989,642,Robert Garcia,Active,Building,,
KY1161,9133 W. Us Hwy 60,4,9133 Us Highway 60 E,Sturgis,KY,42459,37.43923,-87.996076,3849,2001,2101,James Comer,Active,Building,,
IA1549,Armstrong Building - Cedar Rapids,6,222 3Rd Ave Se,Cedar Rapids,IA,52401,41.97763,-91.666551,5084,2000,1902,Ashley Hinson,Active,Building,,
MT5631,106 N. Parkmont,8,106 N Parkmont,Butte,MT,59701,45.927954,-112.51134,19300,2000,3001,Ryan Zinke,Active,Building,,
WV0188,Allied Warehouse,3,9 27Th St,Huntington,WV,25702,38.4345986,-82.4079,25470,2000,5401,Carol Miller,Active,Building,,
NM1519,Lot 3 Summit Court,7,2141 Summit Ct,Las Cruces,NM,88011,32.34325,-106.76337,11500,2000,3502,Gabe Vasquez,Active,Building,,
AZ7420,775 E. 39Th St.,9,775 E 39Th St,Yuma,AZ,85365,32.6566238,-114.61332,9100,2003,409,Paul Gosar,Active,Building,,
IL2194,Il Valley Office Pk,5,2200 Marquette Rd,Peru,IL,61354,41.34131,-89.117521,3291,2000,1714,Lauren Underwood,Active,Building,,
MO1855,1230 Jungerman,6,1230-1232 Jungerman Road,St. Peters,MO,63376,38.7896545,-90.625873,2789,2000,2903,Blaine Luetkemeyer,Active,Building,,
NM0015,Santiago E. Campos United States Courthouse,7,106 S Federal Pl,Santa Fe,NM,87501,35.690839,-105.93765,41899.61,1889,3503,Teresa Leger Fernandez,Active,Building,,
MD0798,White Flint North Lot 4,11,5450 Marinelli Rd,Rockville,MD,20852,39.0471,-77.110761,0,,2408,Jamie Raskin,Active,Land,,
TX2521,Midland International Airport,7,9506 Laforce Blvd.,Midland,TX,79711,31.9342546,-102.21261,2924,2000,4811,August Pfluger,Active,Building,,
TX8022,Usbs World Trade Laredo Site,7,715 Bob Bullock Loop,Laredo,TX,78043,27.597784,-99.534627,0,,4828,Henry Cuellar,Active,Land,,
NC2344,Terminal Building A,4,1600 Terminal Drive,Raleigh,NC,27604,35.800344,-78.587879,5417,2000,3702,Deborah Ross,Active,Building,,
CT3393,Hartford Square North,1,10 Columbus Blvd,Hartford,CT,6106,41.75974,-72.669041,5977,2000,901,John Larson,Active,Building,,
FL1381,500 Wssa,4,500 N Orange Ave,Orlando,FL,32801,28.55007,-81.379641,122450,2024,1210,Maxwell Frost,Active,Building,,
MD0106,Suitland Htg Plt-Fo,11,4105 Suitland Rd,Suitland,MD,20746,38.8571786,-76.943518,0,1967,2404,Glenn Ivey,Active,Structure,,
VT0026,Federal Bldg Uspo&Ct,1,87 State St,Montpelier,VT,5602,44.26091,-72.577601,65649.69,1964,5000,Becca Balint,Active,Building,,
NY7506,123 Williams Street,2,123 William St,New York,NY,10038,40.709214,-74.006888,36573,2000,3610,Daniel Goldman,Active,Building,,
OR6745,Sunset Center South,10,1193 Royvonne Ave Se,Salem,OR,97302,44.8863283,-123.03135,964,1980,4106,Andrea Salinas,Active,Building,,
NM1539,Carlsbad Airport Industrial Pk Nm1539,7,5203 Buena Vista Dr,Carlsbad,NM,88220,32.35301,-104.246,0,2000,3502,Gabe Vasquez,Active,Building,,
NC2337,Coastal Carolina Regional Airport,4,200 Terminal Dr,New Bern,NC,28560,35.0785385,-77.034375,770,2000,3703,Gregory Murphy,Active,Building,,
VA0436,Commonwealth Building Roanoke,3,210 Church Ave Sw,Roanoke,VA,24011,37.27008,-79.944711,21327,1978,5106,Ben Cline,Active,Building,,
NC0005,"Fb-Ct, Asheville, Nc",4,100 Otis St,Asheville,NC,28801,35.59454,-82.558001,91418.9,1930,3711,Chuck Edwards,Active,Building,,
CO2175,7150 Campus Drive,8,7150 Campus Dr,Colorado Springs,CO,80920,38.93507,-104.812,3426,2000,805,Doug Lamborn,Active,Building,,
NY7363,Financial Square Building,2,32 Old Slip,New York,NY,10005,40.7038,-74.008161,111571,2000,3610,Daniel Goldman,Active,Building,,
GA2400,"The Meridian, Atlanta, Ga",4,1995 N Park Pl Se,Atlanta,GA,30339,33.90396,-84.479751,23616,2009,1311,Barry Loudermilk,Active,Building,,
MO2022,3520 S Noland Road,6,3520 S Noland Rd,Independence,MO,64055,39.05627,-94.415601,15737,2000,2905,Emanuel Cleaver,Active,Building,,
AL1040,Lakeshore Crossings,4,1030 London Dr,Birmingham,AL,35211,33.4412,-86.864051,20554,2000,107,Terri Sewell,Active,Building,,
MD0232,Southern Md Courthse,3,6500 Cherrywood Ln,Greenbelt,MD,20770,39.0100441,-76.897185,224937.22,1994,2404,Glenn Ivey,Active,Building,,
NC2639,Goldwater Trail & Freeway Driv,4,2402 Freeway Dr,Reidsville,NC,27320,36.37477,-79.672371,8126,2010,3706,Kathy Manning,Active,Building,,
FL2978,Ci-Corp Bldg.,4,402 S Kentucky Ave,Lakeland,FL,33801,28.04013,-81.954591,7005,2000,1218,C. Franklin,Active,Building,,
MO1471,1St Natl Bank Bg,6,201 N Elson St,Kirksville,MO,63501,40.19583,-92.584611,961,2000,2906,Sam Graves,Active,Building,,
LA1542,Factory Outlet,7,800 Calcasieu Drive,Iowa,LA,70647,30.247839,-93.01104,9002,2000,2203,Clay Higgins,Active,Building,,
AZ0704,San Luis 1 Lpoe Main Building,9,Highway 95 & International Border,San Luis,AZ,85349,32.4906273,-114.78225,22106.1,1984,407,Raul Grijalva,Active,Building,,
OK1477,601 S. Harding,7,"601 S. Harding, Suite D",Enid,OK,73703,36.3999182,-97.940082,2299,2000,4003,Frank Lucas,Active,Building,,
TX2349,Bp Harlingen Hwy 83 Station,7,3902 S Expressway 83,Harlingen,TX,78552,26.1639418,-97.688137,53075,2000,4834,Vicente Gonzalez,Active,Building,,
TX2662,600 Sgt Ed Holcomb Blvd N,7,600 Sgt Ed Holcomb Blvd N,Conroe,TX,77304,30.31271,-95.478701,21525,2009,4808,Morgan Luttrell,Active,Building,,
NE1421,Airport Terminal Building - Alliance,6,5631 Sarpy Rd,Alliance,NE,69301,42.0605001,-102.85466,752,2000,3103,Adrian Smith,Active,Building,,
MN1636,Aphis Wildlife Services Building,5,34912 Us Highway 2,Grand Rapids,MN,55744,47.25523,-93.595201,8215,2000,2708,Pete Stauber,Active,Building,,
MI2101,3100 West Road,5,3100 West Rd,East Lansing,MI,48823,42.76424,-84.507151,10491,2000,2607,Elissa Slotkin,Active,Building,,
MT5570,Gfc,8,618 Park Dr S,Great Falls,MT,59405,47.49719,-111.305,6045,2005,3002,Matthew Rosendale,Active,Building,,
MO0601,Federal Ctr Bg 101,6,4300 Goodfellow Blvd,St. Louis,MO,63120,38.6914,-90.267091,100375.63,1942,2901,Cori Bush,Active,Building,,
CA7623,Crescent City D.O.,9,560 E Hoover Ave,Crescent City,CA,95531,41.77133,-124.19787,5250,2006,602,Jared Huffman,Active,Building,,
OH2502,Pnc Building,5,405 Madison Ave,Toledo,OH,43604,41.65155,-83.535579,13842,2000,3909,Marcy Kaptur,Active,Building,,
TX0272,Richard C. White Federal Building,7,700 E San Antonio Ave,El Paso,TX,79901,31.75892,-106.48217,165694.84,1985,4816,Veronica Escobar,Active,Building,,
IL2260,Hawthorne Centre,5,2060-66 Windish Drive,Galesburg,IL,61401,40.9475636,-90.388036,7010,2000,1717,Eric Sorensen,Active,Building,,
NY7271,Five Star Bank (Formerly One Hsbc Plaza),2,100 Chestnut St,Rochester,NY,14604,43.15484,-77.602281,12352,2000,3625,Joseph Morelle,Active,Building,,
TX2490,9107B Boudreaux Road,7,9107B Boudreaux Rd,Tomball,TX,77375,30.073471,-95.557946,15766,2000,4838,Wesley Hunt,Active,Building,,
NY0349,Joseph P. Addabbo Fb,2,155-10 Jamaica Ave,Jamaica,NY,11432,40.702995,-73.800815,806094.62,1989,3605,Gregory Meeks,Active,Building,,
MS2201,Troy Street Building,4,111 Troy St,Tupelo,MS,38804,34.2565719,-88.703944,4857,2007,2801,Trent Kelly,Active,Building,,
VI0008,Almeric Christian Fb-St Croix,2,3013 Estate Golden Rock,Saint Croix,VI,820,17.755166,-64.721424,67343.62,1992,7898,Stacey Plaskett,Active,Building,,
CO2190,San Juan National Forest Headquarters,8,15 Burnett Ct,Durango,CO,81301,37.273059,-107.89321,27417,2022,803,Lauren Boebert,Active,Building,,
CA8168,1919 Friendship Drive Building,9,1919 Friendship Dr,El Cajon,CA,92020,32.8245957,-116.97942,26508,2009,651,Sara Jacobs,Active,Building,,
TN1012,Cool Springs Commons Office,4,7100 Commerce Way,Brentwood,TN,37027,35.972487,-86.808177,52642,2000,4705,Andrew Ogles,Active,Building,,
CA6951,3420 12Th St,9,3420 12Th St,Riverside,CA,92501,33.976554,-117.3739,77701,2000,639,Mark Takano,Active,Building,,
TX0622,Los Tomates Headhouse,7,3300 South Expressway 77 83,Brownsville,TX,78521,25.8893965,-97.4765454,0,2024,4834,Vicente Gonzalez,Active,Building,,
IN1869,Airport Trade Center Iv,5,8303 W Southern Ave,Indianapolis,IN,46241,39.7297,-86.306701,15240,1992,1807,Andre Carson,Active,Building,,
NY7080,195 Montague Street,2,195 Montague St,Brooklyn,NY,11201,40.69435,-73.991291,30000,2000,3610,Daniel Goldman,Active,Building,,
NY7503,Belltel Lofts,2,365 Bridge St,Brooklyn,NY,11201,40.69231,-73.985141,13425,2000,3607,Nydia Velazquez,Active,Building,,
PA0642,1650 Arch Street,3,1650 Arch St,Philadelphia,PA,19103,39.9548932,-75.167725,85676,2000,4203,Dwight Evans,Active,Building,,
MA5942,75 Perseverance Way,1,75 Perseverance Way,Hyannis,MA,2601,41.6774,-70.300411,3810.43,2010,2509,William Keating,Active,Building,,
NM1467,Usda Forest Service,7,3005 Camino Del Bosque,Silver City,NM,88061,32.790177,-108.24392,29554,2000,3502,Gabe Vasquez,Active,Building,,
PA0887,One Penn Center At Suburban Station,3,1617 John F Kennedy Blvd,Philadelphia,PA,19103,39.9539061,-75.16694,53213,1929,4203,Dwight Evans,Active,Building,,
TN2182,Chattanooga Airport Terminal,4,1001 Airport Rd,Chattanooga,TN,37421,35.03274,-85.204651,1882,2000,4703,Charles Fleischmann,Active,Building,,
AL2273,Wynlakes Office Park,4,9500 Wynlakes Pl,Montgomery,AL,36117,32.33954,-86.149071,6900,2009,102,Barry Moore,Active,Building,,
MD0779,Ammendale South Tech Park,11,5901 Ammendale Road,Beltsville,MD,20705,39.0560783,-76.904541,190372,2000,2404,Glenn Ivey,Active,Building,,
IA1474,Fort Dodge Regional Airport,6,1639 Nelson Ave,Fort Dodge,IA,50501,42.55325,-94.178271,285.75,2000,1904,Randy Feenstra,Active,Building,,
CA7060,"Creekside Business Park, Llc",9,11641 Blocker Dr,Auburn,CA,95603,38.90346,-121.08475,4796,2007,603,Kevin Kiley,Active,Building,,
TX2594,"Archangelos, Inc.",7,901 Victoria Street,Laredo,TX,78040,27.5078233,-99.504354,0,2000,4828,Henry Cuellar,Active,Building,,
KY3052,159 Future Lane Bldg,4,159 Future Dr,Corbin,KY,40701,36.9200058,-84.112268,14650,2000,2105,Harold Rogers,Active,Building,,
VA0316,1953 Gallows Road,11,1953 Gallows Rd,Vienna,VA,22182,38.9118,-77.226021,130601,1983,5111,Gerald Connolly,Active,Building,,
IA1562,Vha Office,6,1410 S 1St Ave,Iowa City,IA,52240,41.643531,-91.501533,32200,2023,1901,Mariannette Miller-Meeks,Active,Building,,
DC0045,1717 H Street,11,1717 H St Nw,Washington,DC,20006,38.90053,-77.040591,40767,2009,1198,Eleanor Norton,Active,Building,,
CA7138,811 Wilshire Blvd,9,811 Wilshire Blvd,Los Angeles,CA,90017,34.04982,-118.25819,54051,2000,634,Jimmy Gomez,Active,Building,,
MD1879,One Rockledge Centre,11,6705 Rockledge Dr,Bethesda,MD,20817,39.03102,-77.135531,247557,2000,2408,Jamie Raskin,Active,Building,,
WI1725,Liberty Iv At Park Place,5,11050 W Liberty Dr,Milwaukee,WI,53224,43.15465,-88.047111,29297,2000,5504,Gwen Moore,Active,Building,,
OK0500,Okc Pmd Center Site,7,2800 S Eastern Ave,Oklahoma City,OK,73129,35.436947,-97.476778,0,,4003,Frank Lucas,Active,Land,,
NV8160,North Fifth Commerical Center,9,2363 5Th St,Elko,NV,89801,40.84499,-115.78127,2400,2009,3202,Mark Amodei,Active,Building,,
DE0082,The Tatnall School,3,1501 Barley Mill Rd,Wilmington,DE,19807,39.767445,-75.615413,0,,1000,Lisa Blunt Rochester,Active,Land,,
VA0491,116 Lake View Parkway,3,116 Lake View Pkwy,Suffolk,VA,23435,36.88718,-76.424221,403737,2000,5102,Jennifer Kiggans,Active,Building,,
CA6912,The Campus,9,2055 Sanyo Ave,San Diego,CA,92154,32.56123,-116.93855,61907,2000,652,Juan Vargas,Active,Building,,
ID4426,7180-7192 W Potomac Dr,10,7180 W Potomac Dr,Boise,ID,83704,43.611633,-116.27134,12529,2000,1602,Michael Simpson,Active,Building,,
TX2978,1331 Lamar St.,7,1331 Lamar St,Houston,TX,77010,29.754497,-95.362624,15920,2000,4818,Sheila Jackson Lee,Active,Building,,
AZ0349,Mariposa Lpoe - Head Hse&Sec Insp,9,200 N Mariposa Rd,Nogales,AZ,85621,31.3351254,-110.9677,42479.92,2013,407,Raul Grijalva,Active,Building,,
WA8049,245 Bruenn Ave,10,245 Bruenn Ave,Bremerton,WA,98312,47.5653781,-122.68477,10000,2000,5306,Derek Kilmer,Active,Building,,
NY7511,101 Worth Street,2,101 Worth St,New York,NY,10013,40.716114,-74.004032,0,1984,3610,Daniel Goldman,Active,Structure,,
VA0520,Ridgeview Ctr,3,253 Ridgeview Rd Sw,Wise,VA,24293,36.966384,-82.598423,6620,2000,5109,H. Griffith,Active,Building,,
